2026-03-08 17:59:18,030 | INFO | ThreatIntelPipeline | Test Runner | Starting Threat Intelligence Pipeline
2026-03-08 17:59:18,031 | INFO | ThreatIntelPipeline | Threat Pipeline | Starting threat intelligence collection
2026-03-08 17:59:18,031 | INFO | ThreatIntelPipeline | AbuseIPDB Collector | Starting collection
2026-03-08 17:59:18,033 | INFO | ThreatIntelPipeline | URLHaus Collector | Starting collection
2026-03-08 17:59:18,033 | INFO | ThreatIntelPipeline | ThreatFox Collector | Starting collection
2026-03-08 17:59:19,913 | INFO | ThreatIntelPipeline | URLHaus Collector | Indicators collected: 100
2026-03-08 17:59:19,945 | WARNING | ThreatIntelPipeline | ThreatFox Collector | No IOC data returned
2026-03-08 17:59:20,977 | INFO | ThreatIntelPipeline | AbuseIPDB Collector | Indicators collected: 100
2026-03-08 17:59:20,981 | INFO | ThreatIntelPipeline | Threat Pipeline | Total raw indicators collected: 200
2026-03-08 17:59:20,983 | INFO | ThreatIntelPipeline | Threat Pipeline | Raw threat feed saved
2026-03-08 17:59:20,983 | INFO | ThreatIntelPipeline | Normalizer | Starting normalization
2026-03-08 17:59:21,002 | INFO | ThreatIntelPipeline | Normalizer | Indicators normalized: 151
2026-03-08 17:59:21,003 | INFO | ThreatIntelPipeline | Threat Pipeline | Completed successfully
2026-03-08 17:59:21,003 | INFO | ThreatIntelPipeline | Test Runner | Pipeline execution finished
2026-03-08 19:04:00,774 | INFO | ThreatIntelPipeline | Test Runner | Starting Threat Intelligence Pipeline
2026-03-08 19:04:00,774 | INFO | ThreatIntelPipeline | Threat Pipeline | Starting threat intelligence collection
2026-03-08 19:04:00,776 | INFO | ThreatIntelPipeline | AbuseIPDB Collector | Starting collection
2026-03-08 19:04:00,778 | INFO | ThreatIntelPipeline | URLHaus Collector | Starting collection
2026-03-08 19:04:00,779 | INFO | ThreatIntelPipeline | ThreatFox Collector | Starting collection
2026-03-08 19:04:02,799 | ERROR | ThreatIntelPipeline | AbuseIPDB Collector | Error: 429 Client Error: Too Many Requests for url: https://api.abuseipdb.com/api/v2/blacklist?confidenceMinimum=75
2026-03-08 19:04:03,504 | WARNING | ThreatIntelPipeline | ThreatFox Collector | No IOC data returned
2026-03-08 19:04:03,557 | INFO | ThreatIntelPipeline | URLHaus Collector | Indicators collected: 100
2026-03-08 19:04:03,570 | INFO | ThreatIntelPipeline | Threat Pipeline | Total raw indicators collected: 100
2026-03-08 19:04:03,581 | INFO | ThreatIntelPipeline | Threat Pipeline | Raw threat feed saved
2026-03-08 19:04:03,581 | INFO | ThreatIntelPipeline | Normalizer | Starting normalization
2026-03-08 19:04:03,663 | INFO | ThreatIntelPipeline | Normalizer | Indicators normalized: 74
2026-03-08 19:04:03,663 | INFO | ThreatIntelPipeline | Threat Pipeline | Completed successfully
2026-03-08 19:04:03,664 | INFO | ThreatIntelPipeline | Test Runner | Pipeline execution finished
2026-03-08 19:12:53,237 | INFO | ThreatIntelPipeline | Test Runner | Starting Threat Intelligence Pipeline
2026-03-08 19:12:53,237 | INFO | ThreatIntelPipeline | Threat Pipeline | Starting threat intelligence collection
2026-03-08 19:12:53,239 | INFO | ThreatIntelPipeline | AbuseIPDB Collector | Starting collection
2026-03-08 19:12:53,240 | INFO | ThreatIntelPipeline | URLHaus Collector | Starting collection
2026-03-08 19:12:53,241 | INFO | ThreatIntelPipeline | ThreatFox Collector | Starting collection
2026-03-08 19:12:55,239 | INFO | ThreatIntelPipeline | URLHaus Collector | Indicators collected: 100
2026-03-08 19:12:55,686 | WARNING | ThreatIntelPipeline | ThreatFox Collector | No IOC data returned
2026-03-08 19:12:56,222 | INFO | ThreatIntelPipeline | AbuseIPDB Collector | Indicators collected: 100
2026-03-08 19:12:56,231 | INFO | ThreatIntelPipeline | Threat Pipeline | Total raw indicators collected: 200
2026-03-08 19:12:56,243 | INFO | ThreatIntelPipeline | Threat Pipeline | Raw threat feed saved
2026-03-08 19:12:56,243 | INFO | ThreatIntelPipeline | Normalizer | Starting normalization
2026-03-08 19:14:05,973 | INFO | ThreatIntelPipeline | Normalizer | Indicators normalized: 175
